,education,income,income_work,income_rent,income_capital,race,gender,weight,age,occupation,uf
10561,7.0,,,,,4,2,186.0,22.0,6239.0,12
10562,0.0,,,,,4,1,186.0,3.0,,12
10563,3.0,,,,,16,1,186.0,15.0,8411.0,12
10564,0.0,622.0,,,,16,1,186.0,74.0,8411.0,12
10565,3.0,622.0,,,,4,2,186.0,54.0,,12
10566,0.0,800.0,800.0,,,4,1,187.0,53.0,8411.0,12
10567,0.0,240.0,,,240.0,4,2,186.0,43.0,8411.0,12
10568,1.0,,,,,4,2,187.0,12.0,8411.0,12
10569,2.0,,,,,4,1,187.0,18.0,8411.0,12
10570,4.0,,,,,4,2,187.0,16.0,8411.0,12
10571,0.0,,,,,4,2,186.0,0.0,,12
10572,8.0,,,,,4,1,187.0,28.0,8411.0,12
10573,1.0,,,,,4,2,186.0,15.0,8411.0,12
10574,8.0,500.0,500.0,,,4,1,186.0,41.0,8411.0,12
10575,15.0,1800.0,1800.0,,,4,2,186.0,34.0,2321.0,12
10576,2.0,,,,,4,2,187.0,9.0,,12
10577,0.0,,,,,4,2,187.0,7.0,,12
10578,0.0,350.0,350.0,,,2,1,186.0,58.0,6329.0,12
10579,4.0,170.0,170.0,,,4,2,186.0,41.0,6139.0,12
10580,0.0,,,,,2,1,187.0,17.0,6329.0,12
10581,0.0,,,,,4,2,186.0,10.0,,12
10582,0.0,,,,,4,1,187.0,7.0,,12
10583,0.0,,,,,4,2,187.0,3.0,,12
10584,4.0,500.0,500.0,,,4,1,186.0,25.0,6129.0,12
10585,5.0,,,,,4,2,187.0,22.0,6239.0,12
10586,0.0,,,,,4,1,187.0,6.0,,12
10587,0.0,,,,,4,1,186.0,3.0,,12
10588,15.0,5940.0,5940.0,,,4,1,186.0,41.0,6329.0,12
10589,0.0,922.0,300.0,,,4,1,186.0,62.0,7681.0,12
10590,0.0,622.0,,,,4,2,186.0,55.0,,12
10591,15.0,1000.0,1000.0,,,4,1,187.0,29.0,2321.0,12
10592,13.0,622.0,622.0,,,4,2,186.0,21.0,4121.0,12
10593,0.0,856.0,,,856.0,4,1,187.0,59.0,,12
10594,3.0,,,,,4,1,186.0,21.0,,12
10595,1.0,,,,,4,2,186.0,9.0,,12
10596,0.0,622.0,,,,2,1,187.0,61.0,,12
10597,0.0,622.0,,,,4,2,186.0,51.0,,12
10598,3.0,,,,,4,2,186.0,12.0,,12
10599,6.0,,,,,16,2,186.0,15.0,,12
10600,1.0,,,,,4,1,186.0,9.0,,12
10601,0.0,1422.0,800.0,,622.0,4,1,186.0,44.0,8281.0,12
10602,2.0,306.0,,,306.0,16,2,187.0,41.0,,12
10603,0.0,400.0,400.0,,,16,1,186.0,24.0,6210.0,12
10604,8.0,,,,,4,2,187.0,18.0,,12
10605,4.0,,,,,4,1,186.0,17.0,,12
10606,8.0,,,,,16,2,186.0,16.0,,12
10607,3.0,,,,,16,1,186.0,16.0,,12
10608,0.0,622.0,,,622.0,4,2,186.0,14.0,,12
10609,3.0,,,,,16,2,187.0,11.0,,12
10610,0.0,,,,,4,1,187.0,9.0,,12
10611,0.0,,,,,4,1,186.0,6.0,,12
10612,5.0,622.0,,,,4,2,186.0,67.0,,12
10613,0.0,1472.0,850.0,,,4,1,186.0,63.0,6139.0,12
10614,10.0,5000.0,5000.0,,,2,1,186.0,28.0,5132.0,12
10615,0.0,622.0,,,,16,2,187.0,88.0,,12
10616,11.0,,,,,16,2,187.0,22.0,,12
10617,7.0,,,,,2,1,186.0,15.0,,12
10618,0.0,622.0,,,,2,1,187.0,90.0,,12
10619,15.0,750.0,750.0,,,4,1,187.0,34.0,5199.0,12
10620,11.0,134.0,,,134.0,4,2,187.0,32.0,,12
10621,5.0,,,,,16,2,187.0,11.0,,12
10622,0.0,,,,,16,1,186.0,1.0,,12
10623,9.0,430.0,400.0,,30.0,16,2,187.0,38.0,5121.0,12
10624,9.0,200.0,,,,16,1,186.0,16.0,,12
10625,15.0,3544.0,3544.0,,,4,2,186.0,39.0,2313.0,12
10626,11.0,622.0,622.0,,,2,1,186.0,30.0,3171.0,12
10627,8.0,,,,,4,2,186.0,15.0,,12
10628,3.0,622.0,,,,4,2,187.0,61.0,,12
10629,15.0,12000.0,12000.0,,,16,2,186.0,46.0,2312.0,12
10630,14.0,,,,,4,1,187.0,22.0,3771.0,12
10631,11.0,,,,,4,1,187.0,18.0,3771.0,12
10632,11.0,622.0,622.0,,,2,1,186.0,33.0,4121.0,12
10633,11.0,622.0,622.0,,,4,2,186.0,30.0,4121.0,12
10634,8.0,,,,,4,1,187.0,14.0,,12
10635,4.0,,,,,4,1,187.0,12.0,,12
10636,0.0,,,,,4,1,187.0,2.0,,12
10637,0.0,500.0,500.0,,,4,2,187.0,55.0,5121.0,12
10638,0.0,622.0,,,,16,2,186.0,74.0,,12
10639,5.0,,,,,4,1,187.0,14.0,,12
10640,0.0,,,,,16,2,187.0,3.0,,12
10641,0.0,550.0,400.0,,150.0,4,2,186.0,44.0,5121.0,12
10642,0.0,922.0,300.0,,622.0,4,1,187.0,55.0,5243.0,12
10643,11.0,622.0,622.0,,,4,1,186.0,24.0,5142.0,12
10644,11.0,622.0,622.0,,,4,2,187.0,20.0,5211.0,12
10645,11.0,400.0,400.0,,,16,1,187.0,24.0,7170.0,12
10646,11.0,,,,,16,2,186.0,25.0,,12
10647,1.0,,,,,16,1,186.0,9.0,,12
10648,0.0,,,,,16,2,186.0,2.0,,12
10649,11.0,700.0,700.0,,,16,1,186.0,27.0,4121.0,12
10650,0.0,,,,,4,1,187.0,6.0,,12
10651,0.0,,,,,16,2,186.0,3.0,,12
10652,4.0,622.0,,,,16,2,187.0,84.0,,12
10653,11.0,,,,,16,2,187.0,32.0,,12
10654,11.0,622.0,622.0,,,4,1,186.0,37.0,7711.0,12
10655,0.0,300.0,200.0,,100.0,4,2,186.0,36.0,5121.0,12
10656,6.0,,,,,4,1,187.0,16.0,,12
10657,6.0,180.0,180.0,,,4,1,186.0,16.0,5134.0,12
10658,3.0,622.0,,,622.0,4,1,187.0,14.0,,12
10659,1.0,,,,,4,2,187.0,8.0,,12
10660,6.0,1100.0,1100.0,,,4,1,187.0,41.0,7823.0,12
10661,3.0,700.0,700.0,,,4,1,186.0,71.0,5211.0,12
10662,5.0,,,,,4,2,186.0,65.0,,12
10663,5.0,1207.0,1207.0,,,4,1,186.0,50.0,5174.0,12
10664,6.0,,,,,16,2,186.0,52.0,,12
10665,11.0,622.0,,,622.0,16,2,187.0,29.0,,12
10666,11.0,,,,,16,1,186.0,20.0,,12
10667,0.0,1244.0,,,,4,1,187.0,79.0,,12
10668,0.0,622.0,,,622.0,4,2,187.0,73.0,,12
10669,11.0,900.0,900.0,,,16,1,186.0,32.0,3522.0,12
10670,11.0,,,,,4,2,186.0,25.0,,12
10671,5.0,,,,,16,2,187.0,14.0,,12
10672,3.0,,,,,16,2,186.0,12.0,,12
10673,0.0,80.0,80.0,,,16,1,187.0,49.0,5211.0,12
10674,0.0,1690.0,1490.0,,200.0,4,2,186.0,52.0,5142.0,12
10675,11.0,500.0,500.0,,,4,1,186.0,21.0,4121.0,12
10676,10.0,,,,,4,1,186.0,18.0,,12
10677,10.0,,,,,4,2,186.0,16.0,,12
10678,5.0,,,,,4,1,186.0,12.0,,12
10679,0.0,,,,,16,2,186.0,8.0,,12
10680,5.0,200.0,200.0,,,16,2,187.0,25.0,5121.0,12
10681,0.0,,,,,4,2,186.0,3.0,,12
10682,0.0,,,,,4,1,186.0,2.0,,12
10683,0.0,,,,,16,1,187.0,0.0,,12
10684,11.0,4500.0,2000.0,,,4,2,186.0,46.0,1310.0,12
10685,12.0,,,,,4,1,186.0,21.0,5134.0,12
10686,10.0,,,,,16,1,187.0,17.0,4211.0,12
10687,11.0,1500.0,1500.0,,,4,1,187.0,50.0,6139.0,12
10688,15.0,2600.0,2600.0,,,4,2,187.0,49.0,2313.0,12
10689,15.0,1200.0,1200.0,,,4,1,187.0,30.0,3522.0,12
10690,11.0,600.0,600.0,,,16,1,187.0,26.0,6139.0,12
10691,3.0,,,,,4,2,186.0,12.0,,12
10692,7.0,2244.0,1000.0,,,4,1,186.0,73.0,1310.0,12
10693,4.0,,,,,16,2,187.0,65.0,,12
10694,15.0,1900.0,1900.0,,,16,2,187.0,41.0,2312.0,12
10695,14.0,6300.0,6300.0,,,4,1,187.0,37.0,1220.0,12
10696,13.0,800.0,800.0,,,16,1,187.0,32.0,5173.0,12
10697,15.0,850.0,850.0,,,4,2,186.0,33.0,4121.0,12
10698,4.0,,,,,4,2,186.0,11.0,,12
10699,0.0,,,,,16,2,187.0,8.0,,12
10700,15.0,1000.0,1000.0,,,4,1,186.0,45.0,3762.0,12
10701,11.0,656.0,622.0,,34.0,16,2,187.0,34.0,5211.0,12
10702,9.0,,,,,4,2,186.0,16.0,,12
10703,0.0,782.0,,,782.0,2,2,186.0,44.0,,12
10704,0.0,622.0,622.0,,,4,1,186.0,46.0,5142.0,12
10705,7.0,100.0,100.0,,,4,2,187.0,16.0,5162.0,12
10706,4.0,,,,,4,2,186.0,14.0,,12
10707,0.0,,,,,4,1,186.0,4.0,,12
10708,15.0,2200.0,2200.0,,,4,1,186.0,31.0,5173.0,12
10709,13.0,,,,,4,2,186.0,23.0,,12
10710,10.0,,,,,16,2,186.0,19.0,,12
10711,0.0,,,,,16,2,187.0,1.0,,12
10712,5.0,300.0,300.0,,,16,1,186.0,34.0,6229.0,12
10713,0.0,,,,,4,2,186.0,40.0,6239.0,12
10714,11.0,622.0,622.0,,,4,2,186.0,22.0,4221.0,12
10715,3.0,,,,,16,2,187.0,13.0,,12
10716,0.0,,,,,16,1,186.0,10.0,,12
10717,0.0,,,,,16,1,186.0,8.0,,12
10718,0.0,,,,,16,2,187.0,5.0,,12
10719,15.0,1900.0,1900.0,,,4,2,187.0,33.0,2311.0,12
10720,5.0,,,,,4,1,187.0,14.0,,12
10721,3.0,,,,,4,2,186.0,12.0,,12
10722,3.0,,,,,4,2,187.0,9.0,,12
10723,2.0,,,,,4,2,186.0,8.0,,12
10724,0.0,,,,,4,2,187.0,6.0,,12
10725,0.0,,,,,4,2,186.0,3.0,,12
10726,0.0,,,,,4,1,186.0,1.0,,12
10727,15.0,2000.0,2000.0,,,4,1,187.0,32.0,1320.0,12
10728,11.0,900.0,900.0,,,16,2,186.0,26.0,1310.0,12
10729,0.0,,,,,4,1,187.0,6.0,,12
10730,11.0,2812.0,2812.0,,,4,1,186.0,28.0,5174.0,12
10731,11.0,220.0,220.0,,,4,2,186.0,20.0,5211.0,12
10732,0.0,,,,,4,2,187.0,2.0,,12
10733,0.0,280.0,280.0,,,4,1,186.0,44.0,6229.0,12
10734,0.0,102.0,,,102.0,4,2,186.0,47.0,,12
10735,1.0,,,,,4,1,186.0,8.0,,12
10736,0.0,722.0,,,100.0,16,2,187.0,78.0,,12
10737,4.0,,,,,4,1,187.0,19.0,,12
10738,11.0,,,,,4,1,186.0,18.0,,12
10739,8.0,800.0,800.0,,,4,1,187.0,39.0,7152.0,12
10740,15.0,3000.0,3000.0,,,4,2,186.0,38.0,2311.0,12
10741,8.0,,,,,4,1,186.0,15.0,,12
10742,5.0,,,,,4,2,186.0,12.0,,12
10743,4.0,622.0,,,,16,1,187.0,65.0,,12
10744,4.0,600.0,600.0,,,16,2,187.0,56.0,7631.0,12
10745,0.0,300.0,300.0,,,4,1,187.0,53.0,7832.0,12
10746,3.0,300.0,,,300.0,4,2,187.0,50.0,,12
10747,11.0,,,,,4,2,186.0,30.0,,12
10748,11.0,1200.0,1200.0,,,4,1,186.0,26.0,3312.0,12
10749,11.0,,,,,4,2,186.0,20.0,,12
10750,0.0,,,,,16,1,186.0,2.0,,12
10751,12.0,2000.0,2000.0,,,4,1,187.0,22.0,1310.0,12
10752,0.0,622.0,622.0,,,4,2,187.0,18.0,5211.0,12
